frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
1290,43,TERANG,147.69,213.69,250,125.63,88.06,16,1,0,1,0,0,0,1.29,IDLE,0,6,0,IDLE,TIDAK ADA
1320,44,TERANG,147.82,213.87,250,125.72,88.14,15.99,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1350,45,TERANG,147.75,213.78,250,125.51,88.27,16,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1380,46,TERANG,147.22,213.68,250,125.73,87.95,15.92,1,0,1,0,0,0,6.3,IDLE,0,6,0,IDLE,TIDAK ADA
1410,47,TERANG,147.35,213.57,247,118.61,94.96,14.08,1,0,1,0,0,466,225.6,IDLE,0,6,0,IDLE,TIDAK ADA
1440,48,TERANG,147.25,211.75,251,120.44,91.31,17.53,1,0,1,0,0,337,167.8,ON,0,2,12,ON,TIDAK ADA
1470,49,TERANG,147.25,212.59,251,121.59,91,17.17,1,0,1,0,0,49,18.13,IDLE,0,6,0,IDLE,TIDAK ADA
1500,50,TERANG,147.19,212.81,251,123.1,89.71,17.67,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1530,51,TERANG,136.87,212.13,251,123.02,89.1,17.61,1,0,1,0,0,0,0.62,IDLE,0,6,0,IDLE,TIDAK ADA
1560,52,TERANG,93.09,213.93,251,123.23,90.7,17.98,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1590,53,TERANG,110.85,213.16,250,125.67,87.49,16.95,1,0,1,0,0,0,0.2,IDLE,0,6,0,IDLE,TIDAK ADA
1620,54,TERANG,117.61,213.2,250,125.66,87.54,16.95,1,0,1,0,0,0,0.06,IDLE,0,6,0,IDLE,TIDAK ADA
1650,55,TERANG,129.99,213.2,250,125.63,87.57,16.95,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1680,56,TERANG,143.74,213.2,250,125.69,87.51,16.95,1,0,1,0,0,0,0.06,IDLE,0,6,0,IDLE,TIDAK ADA
1710,57,TERANG,144.47,213.16,250,125.66,87.5,16.91,1,0,1,0,0,0,0.08,IDLE,0,6,0,IDLE,TIDAK ADA
1740,58,TERANG,145.57,213.16,250,125.66,87.5,16.91,1,0,1,0,0,0,0.14,IDLE,0,6,0,IDLE,TIDAK ADA
1770,59,TERANG,146.53,213.16,250,125.63,87.53,16.91,1,0,1,0,0,0,0.21,IDLE,0,6,0,IDLE,TIDAK ADA
1800,60,TERANG,147.23,213.16,250,125.68,87.48,16.91,1,0,1,0,0,0,0.06,IDLE,0,6,0,IDLE,TIDAK ADA
1830,61,TERANG,147.58,213.37,250,125.75,87.62,16.87,1,0,1,0,0,0,0.19,IDLE,0,6,0,IDLE,TIDAK ADA
1860,62,TERANG,141.18,213.22,251,125.75,87.48,16.9,1,0,1,0,0,84,39,IDLE,0,6,0,IDLE,TIDAK ADA
1890,63,TERANG,147.06,214.62,250,126.52,88.1,17.24,1,0,1,0,0,0,0.06,IDLE,0,6,0,IDLE,TIDAK ADA
1920,64,TERANG,97.18,214.65,250,126.55,88.1,17.28,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1950,65,TERANG,140.85,214.71,250,126.6,88.11,17.34,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
1980,66,TERANG,146.73,214.68,250,126.64,88.04,17.29,1,0,1,0,0,0,0.06,IDLE,0,6,0,IDLE,TIDAK ADA
2010,67,TERANG,123,214.63,251,126.56,88.07,17.2,1,0,1,0,0,574,234.95,IDLE,0,6,0,IDLE,TIDAK ADA
2040,68,TERANG,116.19,213.62,250,121.27,92.35,16.57,1,0,1,0,0,0,2.3,IDLE,0,6,0,IDLE,TIDAK ADA
2070,69,TERANG,103.78,214.63,250,125.76,88.87,16.82,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
2100,70,TERANG,98.89,215.26,250,123.01,92.25,17.32,1,0,1,0,0,0,0.06,IDLE,0,6,0,IDLE,TIDAK ADA
